Team,Player,Event
FRA,L.Digne,Interception
FRA,L.Digne,Passe Perdue
FRA,J.Koundé,Interception
FRA,J.Koundé,Interception
FRA,J.Koundé,Longue Passe Perdue
FRA,M.Maignan,Passe Precise
FRA,M.Koné,Perte de Ball
FRA,N.Kanté,Interception
FRA,L.Digne,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,M.Koné,Interception
FRA,M.Maignan,Passe Precise
FRA,W.Salib,Passe Precise
FRA,M.Maignan,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,N.Kanté,Passe Precise
FRA,J.Koundé,Passe Precise
FRA,M.Koné,Faute
FRA,M.Koné,C.Jaune
FRA,L.Digne,Passe Precise
FRA,M.Thuram,Passe Precise
FRA,L.Digne,Passe Precise
FRA,M.Thuram,Passe en Profondeur
FRA,W.Salib,Interception
FRA,O.Dembélé,Faute
FRA,M.Maignan,Arret du Gardien
FRA,L.Digne,C.Jaune
FRA,M.Thuram,Degagement
FRA,R.KoloMuani,Passe Precise
FRA,O.Dembélé,Passe Perdue
FRA,J.Koundé,Interception
FRA,M.Maignan,Passe Precise
FRA,W.Salib,Passe Precise
FRA,M.Maignan,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,M.Koné,Passe Precise
FRA,W.Salib,Passe Perdue
FRA,D.Upamecano,Passe Precise
FRA,M.Koné,Passe Precise
FRA,L.Digne,Passe Precise
FRA,R.KoloMuani,Perte de Ball
FRA,L.Digne,Passe Precise
FRA,W.Salib,Passe Precise
FRA,L.Digne,Passe Precise
FRA,W.Salib,Passe Precise
FRA,M.Maignan,Passe Precise
FRA,W.Salib,Passe Precise
FRA,L.Digne,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,R.KoloMuani,Passe Perdue
FRA,N.Kanté,Passe Precise
FRA,J.Koundé,Passe Precise
FRA,N.Kanté,Passe Precise
FRA,M.Guendouzi,Tir Cadre
FRA,J.Koundé,Interception
FRA,O.Dembélé,Passe Perdue
FRA,J.Koundé,Interception
FRA,N.Kanté,Passe Precise
FRA,M.Koné,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,J.Koundé,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,W.Salib,Passe Precise
FRA,M.Koné,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,N.Kanté,Passe Perdue
FRA,D.Upamecano,Interception
FRA,N.Kanté,Passe Perdue
FRA,O.Dembélé,Interception
FRA,R.KoloMuani,Perte de Ball
FRA,M.Maignan,Arret du Gardien
FRA,M.Maignan,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,J.Koundé,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,M.Maignan,Passe Precise
FRA,W.Salib,Passe Precise
FRA,L.Digne,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,M.Thuram,Tir Cadre
FRA,M.Thuram,Hors-Jeu
FRA,R.KoloMuani,Passe en Profondeur
FRA,M.Guendouzi,Passe Precise
FRA,R.KoloMuani,Passe Precise
FRA,L.Digne,Passe Precise
FRA,W.Salib,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,W.Salib,Passe Precise
FRA,L.Digne,Passe Precise
FRA,M.Guendouzi,Longue Passe Precise
FRA,J.Koundé,Passe Precise
FRA,O.Dembélé,Passe Precise
FRA,M.Thuram,Tir non Cadre
FRA,W.Salib,Perte de Ball
FRA,D.Upamecano,Passe Precise
FRA,J.Koundé,Passe Precise
FRA,M.Koné,Passe Precise
FRA,O.Dembélé,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,M.Thuram,Passe Precise
FRA,L.Digne,Centrage Perdu
FRA,M.Koné,Passe Precise
FRA,R.KoloMuani,Tir non Cadre
FRA,D.Upamecano,Passe Precise
FRA,M.Maignan,Passe Precise
FRA,W.Salib,Passe Precise
FRA,D.Upamecano,Passe Precise
FRA,J.Koundé,Passe en Profondeur
FRA,M.Guendouzi,Perte de Ball
FRA,M.Guendouzi,Grosse Occasion
FRA,L.Digne,Interception
FRA,M.Thuram,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,N.Kanté,Passe Precise
FRA,O.Dembélé,Dribble
FRA,M.Guendouzi,Tir Bloce
FRA,O.Dembélé,Corner
FRA,D.Upamecano,Tir non Cadre
FRA,W.Salib,Interception
FRA,L.Digne,Perte de Ball
FRA,R.KoloMuani,Passe Precise
BELG,Y.Tielemans,Faute
FRA,J.Koundé,Passe Precise
FRA,M.Koné,Passe Precise
FRA,W.Salib,Passe Precise
FRA,M.Guendouzi,Passe Precise
FRA,M.Thuram,Passe Precise
FRA,L.Digne,Passe Precise
FRA,M.Koné,Passe Precise
FRA,N.Kanté,Passe Precise
FRA,D.Upamecano,Longue Passe Precise
FRA,O.Dembélé,Dribble
FRA,O.Dembélé,Passe Precise
FRA,W.Salib,Interception
FRA,M.Koné,Passe Precise
