Team,Player,Event
RMA,T.Courtois,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,ViniciusJR,Perte de Ball
RMA,ViniciusJR,Passe Perdue
RMA,A.Tchouameni,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,T.Courtois,Passe Perdue
RMA,E.Militao,Passe Precise
RMA,T.Courtois,Longue Passe
RMA,E.Militao,Passe Precise
RMA,D.Carvajal,Passe Perdue
RMA,T.Courtois,Passe Precise
RMA,E.Militao,Passe Precise
RMA,T.Courtois,Passe Perdue
RMA,F.Mendy,Interception
RMA,F.Mendy,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,E.Militao,Passe Precise
RMA,D.Carvajal,Passe Perdue
RMA,D.Ceballos,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,F.Valverde,Longue Passe
RMA,Rodrygo,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,E.Militao,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,D.Carvajal,Longue Passe
RMA,F.Valverde,Passe Perdue
RMA,A.Rudiger,Recuperation
RMA,A.Tchouameni,Recuperation
RMA,Rodrygo,Recuperation
RMA,F.Valverde,Recuperation
RMA,A.Rudiger,Recuperation
RMA,A.Tchouameni,Recuperation
RMA,E.Militao,Recuperation
RMA,D.Carvajal,Recuperation
RMA,T.Courtois,Recuperation
RMA,A.Rudiger,Recuperation
RMA,F.Mendy,Recuperation
RMA,A.Rudiger,Recuperation
RMA,A.Tchouameni,Recuperation
RMA,F.Mendy,Recuperation
RMA,ViniciusJR,Recuperation
RMA,D.Carvajal,Passe Perdue
RMA,A.Tchouameni,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,Rodrygo,Perte de Ball
RMA,A.Tchouameni,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,E.Militao,Passe Perdue
RMA,E.Militao,Tir Bloce
RMA,Rodrygo,Degagement
RMA,D.Ceballos,Interception
RMA,F.Mendy,Perte de Ball
RBE,A.Ezzalzouli,Grosse Occasion
RMA,F.Mendy,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,ViniciusJR,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,F.Mendy,Passe Perdue
RMA,F.Mendy,Interception
RMA,A.Tchouameni,Passe Perdue
RMA,A.Rudiger,Tir Bloce
RMA,F.Valverde,Interception
RBE,R.Sanchez,Corner
RMA,F.Valverde,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,ViniciusJR,Perte de Ball
RMA,D.Ceballos,Interception
RMA,A.Tchouameni,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,D.Ceballos,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,K.Mbappe,Tir non Cadre
RMA,A.Rudiger,Passe Precise
RMA,E.Militao,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,E.Militao,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,ViniciusJR,Passe Perdue
RMA,F.Valverde,Recuperation
RMA,F.Valverde,Tackle
RMA,A.Tchouameni,Passe Precise
RMA,K.Mbappe,Centrage Perdu
RMA,E.Militao,Recuperation
RMA,E.Militao,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,K.Mbappe,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,K.Mbappe,Perte de Ball
RMA,Rodrygo,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,F.Valverde,Longue Passe
RMA,ViniciusJR,Perte de Ball
RMA,K.Mbappe,Perte de Ball
RMA,D.Carvajal,Passe Precise
RMA,T.Courtois,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,E.Militao,Passe Precise
RMA,D.Carvajal,Passe Precise
RMA,E.Militao,Passe Precise
RMA,T.Courtois,Passe Precise
RMA,A.Rudiger,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,F.Mendy,Passe Precise
RMA,T.Courtois,Passe Precise
RMA,A.Rudiger,Centrage Perdu
RBE,D.Llorente,Passe Perdue
RBE,W.Carvalho,Passe Precise
RMA,D.Ceballos,Longue Passe Perdue
RMA,D.Ceballos,Faute
RMA,T.Courtois,Passe Precise
RMA,A.Tchouameni,Passe Precise
RMA,F.Valverde,Passe Precise
RMA,Rodrygo,Passe Precise
RMA,F.Valverde,Centrage Perdu
RMA,Rodrygo,Corner
RMA,E.Militao,Grosse Occasion
